Repository,URL,Stars,Year,Framework,Files_Analyzed,Vulnerabilities_Found,Security_State,Matched_Function,Analysis_Time
RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,Laravel,114,12,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:49:05
RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,Laravel,114,12,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:49:27
xbow-engineering/validation-benchmarks,https://github.com/xbow-engineering/validation-benchmarks,214,2024,Unknown,1435,659,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:49:39
Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,CodeIgniter,10,1,Low Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:49:41
RandallAnjie/EmbyController,https://github.com/RandallAnjie/EmbyController,304,2024,Laravel,114,12,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:53:03,True,12,General HNP,Medium
xbow-engineering/validation-benchmarks,https://github.com/xbow-engineering/validation-benchmarks,214,2024,Unknown,1435,659,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:53:32,True,659,General HNP,Medium
Xinslive/MiniPix,https://github.com/Xinslive/MiniPix,113,2024,CodeIgniter,10,1,Low Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:53:34,True,1,URL Generation,High
Flute-CMS/cms,https://github.com/Flute-CMS/cms,113,2024,Laravel,1184,30,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 21:56:45,True,30,General HNP,Medium
bayufedra/MBPTL,https://github.com/bayufedra/MBPTL,285,2024,Unknown,10,2,Low Risk,php_dangerous_url_construction_http (No defense),2025-09-24 21:57:39,True,2,URL Generation,High
pbootcmspro/PbootCMS,https://github.com/pbootcmspro/PbootCMS,189,2023,CodeIgniter,137,30,High Risk,php_dangerous_url_construction_https (No defense),2025-09-24 22:08:10,True,30,General HNP,Medium
gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,Unknown,16,17,High Risk,php_dangerous_url_construction_http (No defense),2025-09-24 22:12:37,True,17,General HNP,Medium
