function_name,total_flows,developer_usable_flows,files,examples
sprintf,1,1,class-wp-list-table.php,$column_display_name = sprintf(
wp_login_form,1,1,loginout.php,$contents = wp_login_form( array( 'echo' => false ) );
curl_setopt,1,1,class-wp-http-curl.php,"curl_setopt( $handle, CURLOPT_PROXY, $proxy->host() );"
verify_ssl_certificate,1,1,class-wp-http-streams.php,"if ( ! self::verify_ssl_certificate( $handle, $parsed_url['host'] ) ) {"
fwrite,2,1,class-wp-http-streams.php,"fwrite( $handle, $headers ); | $bytes_written_to_file = fwrite( $stream_handle, $block );"
processHeaders,1,1,class-wp-http-streams.php,"$processed_headers = WP_Http::processHeaders( $processed_response['headers'], $url );"
handle_redirects,1,1,class-wp-http-streams.php,"$redirect_response = WP_Http::handle_redirects( $url, $parsed_args, $response );"
Http,1,1,class-wp-http.php,$options['proxy'] = new WpOrg\Requests\Proxy\Http( $proxy->host() . ':' . $proxy->port() );
username,1,1,class-wp-http.php,$options['proxy']->user               = $proxy->username();
password,1,1,class-wp-http.php,$options['proxy']->pass               = $proxy->password();
request,1,1,class-wp-http.php,"$requests_response = WpOrg\Requests\Requests::request( $url, $headers, $data, $type, $options );"
WP_HTTP_Requests_Response,1,1,class-wp-http.php,"$http_response = new WP_HTTP_Requests_Response( $requests_response, $parsed_args['filename'] );"
to_array,1,1,class-wp-http.php,$response      = $http_response->to_array();
do_action,1,1,class-wp-http.php,"do_action( 'http_api_debug', $response, 'response', 'WpOrg\Requests\Requests', $parsed_args, $url );"
untrailingslashit,1,1,nav-menu-template.php,"$_indexless_current = untrailingslashit( preg_replace( '/' . preg_quote( $wp_rewrite->index, '/' ) . '$/', '', $current_url ) );"
wp_login_url,1,1,pluggable.php,"$login_url = wp_login_url( $redirect, true );"
dirname,1,1,wp-login.php,$url = dirname( set_url_scheme( 'http://' . $_SERVER['HTTP_HOST'] . $_SERVER['PHP_SELF'] ) );
update_option,1,1,wp-login.php,"update_option( 'siteurl', $url );"
add_node,1,0,admin-bar.php,$wp_admin_bar->add_node(
wp_loginout,1,0,loginout.php,$contents = wp_loginout(
stream_set_timeout,1,0,class-wp-http-streams.php,"stream_set_timeout( $handle, $timeout, $utimeout );"
stream_set_blocking,1,0,class-wp-http-streams.php,"stream_set_blocking( $handle, 0 );"
fclose,3,0,class-wp-http-streams.php,fclose( $handle ); | fclose( $handle ); | fclose( $handle );
fread,2,0,class-wp-http-streams.php,"$block = fread( $handle, $block_size ); | $block     = fread( $handle, $block_size );"
processResponse,2,0,class-wp-http-streams.php,$processed_response = WP_Http::processResponse( $response ); | $processed_response = WP_Http::processResponse( $response );
chunkTransferDecode,1,0,class-wp-http-streams.php,$processed_response['body'] = WP_Http::chunkTransferDecode( $processed_response['body'] );
decompress,1,0,class-wp-http-streams.php,$processed_response['body'] = WP_Http_Encoding::decompress( $processed_response['body'] );
strtolower,1,0,ms-settings.php,$domain = strtolower( stripslashes( $_SERVER['HTTP_HOST'] ) );
stripslashes,1,0,ms-settings.php,$path = stripslashes( $_SERVER['REQUEST_URI'] );
ms_load_current_site_and_network,1,0,ms-settings.php,"$bootstrap_result = ms_load_current_site_and_network( $domain, $path, is_subdomain_install() );"
ms_not_installed,1,0,ms-settings.php,"ms_not_installed( $domain, $path );"
