Index,Repository,URL,Stars,Year,Expected_Vuln_Type,Has_HNP_Issue,Total_Findings,File_Path,Line_Number,Problem_Type,Sink_Type,Sink_Function,Exploit_Scenario,Risk_Level,Source_Code,Context,Status
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_playlist.php,20,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\create_tv_playlist.php,16,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
8,gogetta69/TMDB-To-VOD-Playlist,https://github.com/gogetta69/TMDB-To-VOD-Playlist,185,2023,php_dangerous_url_construction_http (No defense),YES,6,temp_gogetta69\TMDB-To-VOD-Playlist\play.php,9022,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
9,felixarntz/felixarntz-mu-plugins,https://github.com/felixarntz/felixarntz-mu-plugins,157,2023,php_dangerous_url_construction_http (No defense),YES,1,temp_felixarntz\felixarntz-mu-plugins\felixarntz-mu-plugins\make-site-private.php,60,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
10,ZanborPanel/ZanborPanel,https://github.com/ZanborPanel/ZanborPanel,257,2023,php_dangerous_url_construction_https (No defense),YES,2,temp_ZanborPanel\ZanborPanel\config.php,6,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
10,ZanborPanel/ZanborPanel,https://github.com/ZanborPanel/ZanborPanel,257,2023,php_dangerous_url_construction_https (No defense),YES,2,temp_ZanborPanel\ZanborPanel\install\install.php,22,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
11,csalab-id/csaf,https://github.com/csalab-id/csaf,100,2023,php_dangerous_url_construction_server_name (No defense),YES,4,temp_csalab-id\csaf\data\dvwa\dvwa\includes\dvwaPage.inc.php,45,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
11,csalab-id/csaf,https://github.com/csalab-id/csaf,100,2023,php_dangerous_url_construction_server_name (No defense),YES,4,temp_csalab-id\csaf\data\dvwa\vulnerabilities\fi\file3.php,19,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
11,csalab-id/csaf,https://github.com/csalab-id/csaf,100,2023,php_dangerous_url_construction_server_name (No defense),YES,4,temp_csalab-id\csaf\data\dvwa\vulnerabilities\weak_id\source\high.php,11,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
11,csalab-id/csaf,https://github.com/csalab-id/csaf,100,2023,php_dangerous_url_construction_server_name (No defense),YES,4,temp_csalab-id\csaf\data\dvwa\vulnerabilities\weak_id\source\impossible.php,7,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
12,codeartx/awesome-security,https://github.com/codeartx/awesome-security,335,2022,php_dangerous_url_construction_server_name (No defense),SKIP,0,,,,,,,,,clone_failed
13,stokry/wp-sqlite,https://github.com/stokry/wp-sqlite,326,2022,php_dangerous_url_construction_https (No defense),SKIP,0,,,,,,,,,timeout
14,dolevf/Black-Hat-Bash,https://github.com/dolevf/Black-Hat-Bash,289,2022,php_dangerous_url_construction_https (No defense),SKIP,0,,,,,,,,,timeout
15,likeyun/liKeYun_Dwz,https://github.com/likeyun/liKeYun_Dwz,201,2021,php_dangerous_url_construction_server_name (No defense),NO,0,,,,,,,,,success
16,bellshade/PHP,https://github.com/bellshade/PHP,146,2021,php_dangerous_url_construction_http (No defense),YES,2,temp_bellshade\PHP\utilities\Kalkulator_sederhana\index.php,8,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
16,bellshade/PHP,https://github.com/bellshade/PHP,146,2021,php_dangerous_url_construction_http (No defense),YES,2,temp_bellshade\PHP\utilities\Kalkulator_sederhana\kalkulator_syzkii\index.php,9,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
17,qkqpttgf/OfficeAdmin,https://github.com/qkqpttgf/OfficeAdmin,110,2021,php_dangerous_url_construction_https (No defense),YES,18,temp_qkqpttgf\OfficeAdmin\common.php,89,Unknown,Unknown_Sink,Unknown,需要进一步分析具体的利用场景,LOW,无法获取,无法获取,success
