Index,Repository,URL,Stars,Year,Matched Function
54,mo-xiaoxi/CTF_Web_docker,https://github.com/mo-xiaoxi/CTF_Web_docker,201,2018,php_dangerous_url_construction_http (No defense)
55,WordPress/wordcamp.org,https://github.com/WordPress/wordcamp.org,147,2018,php_dangerous_url_construction_https (No defense)
56,itmad/Tpay_Svr,https://github.com/itmad/Tpay_Svr,152,2018,php_dangerous_url_construction_http (No defense)
57,department-of-veterans-affairs/va.gov-cms,https://github.com/department-of-veterans-affairs/va.gov-cms,101,2018,php_dangerous_url_construction_https (No defense)
58,webpwnized/mutillidae,https://github.com/webpwnized/mutillidae,1397,2018,php_dangerous_url_construction_http (No defense)
59,ClassicPress/ClassicPress,https://github.com/ClassicPress/ClassicPress,810,2018,php_dangerous_url_construction_https (No defense)
60,ym2011/SecurityTechnique,https://github.com/ym2011/SecurityTechnique,325,2018,php_dangerous_url_construction_server_name (No defense)
61,TheBinitGhimire/Web-Shells,https://github.com/TheBinitGhimire/Web-Shells,344,2018,php_dangerous_url_construction_server_name (No defense)
62,iolevel/wpdotnet-sdk,https://github.com/iolevel/wpdotnet-sdk,421,2018,php_dangerous_url_construction_https (No defense)
63,LycheeOrg/Lychee-v3,https://github.com/LycheeOrg/Lychee-v3,942,2018,php_dangerous_url_construction_http (No defense)
64,sergix44/XBackBone,https://github.com/sergix44/XBackBone,1080,2018,php_dangerous_url_construction_https (No defense)
65,bhdresh/Dejavu,https://github.com/bhdresh/Dejavu,414,2018,php_dangerous_url_construction_https (No defense)
66,echohun/tools,https://github.com/echohun/tools,189,2018,php_dangerous_url_construction_server_name (No defense)
67,aileshe/Upload,https://github.com/aileshe/Upload,123,2018,php_dangerous_url_construction_http (No defense)
68,CleanTalk/anti-ddos-lite,https://github.com/CleanTalk/anti-ddos-lite,123,2018,php_dangerous_url_construction_https (No defense)
69,wponion/wponion,https://github.com/wponion/wponion,148,2018,php_dangerous_url_construction_http (No defense)
70,Youngxj/YoungxjTools,https://github.com/Youngxj/YoungxjTools,113,2018,php_dangerous_url_construction_server_name (No defense)
71,WMJonssen/Centcount-Analytics,https://github.com/WMJonssen/Centcount-Analytics,268,2018,php_dangerous_url_construction_https (No defense)
72,Intermesh/groupoffice,https://github.com/Intermesh/groupoffice,231,2018,php_dangerous_url_construction_http (No defense)
73,wupco/weblogger,https://github.com/wupco/weblogger,738,2017,php_dangerous_url_construction_server_name (No defense)
74,kleeja-official/kleeja,https://github.com/kleeja-official/kleeja,187,2018,php_dangerous_url_construction_http (No defense)
75,IssabelFoundation/issabelPBX,https://github.com/IssabelFoundation/issabelPBX,160,2017,php_dangerous_url_construction_server_name (No defense)
76,geesondog/rhaphp,https://github.com/geesondog/rhaphp,1118,2017,php_dangerous_url_construction_http (No defense)
77,taosir/wtcms,https://github.com/taosir/wtcms,117,2017,php_dangerous_url_construction_http (No defense)
78,vincenth520/pinche_xcx_data,https://github.com/vincenth520/pinche_xcx_data,275,2017,php_dangerous_url_construction_http (No defense)
79,devcode-it/openstamanager,https://github.com/devcode-it/openstamanager,124,2017,php_dangerous_url_construction_http (No defense)
80,openbenches/openbenches.org,https://github.com/openbenches/openbenches.org,181,2017,php_dangerous_url_construction_http (No defense)
81,SecWiki/CMS-Hunter,https://github.com/SecWiki/CMS-Hunter,1760,2017,php_dangerous_url_construction_http (No defense)
82,jimersylee/Andromeda,https://github.com/jimersylee/Andromeda,192,2017,php_dangerous_url_construction_http (No defense)
83,Fanli2012/lqycms,https://github.com/Fanli2012/lqycms,171,2017,php_dangerous_url_construction_http (No defense)
84,zysyyz/Signxx,https://github.com/zysyyz/Signxx,122,2017,php_dangerous_url_construction_http (No defense)
